contestant_id,level,contestant_round_id,active_rows,distinct_rounds,match_rows,foreign_rows,reg_corroborates,classification,sub,disposition,reason,home_row_history,home_higher_level_active,votes_on_foreign_active
62,regional,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
66,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
66,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
66,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
66,regional,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
70,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
70,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
70,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
70,regional,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
74,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
74,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
74,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
74,regional,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
78,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
78,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
78,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
78,regional,3,3,2,0,3,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
82,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
82,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
82,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
86,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
86,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
86,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
88,continent,3,2,2,1,1,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
90,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
90,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
90,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
94,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
94,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
94,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
96,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
98,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
98,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
98,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
102,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
102,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
102,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
108,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
108,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
108,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
110,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
112,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
112,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
112,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
114,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
114,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
114,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
118,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
118,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
118,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
122,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
122,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
122,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
124,continent,3,2,2,1,1,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
126,continent,3,2,2,1,1,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
128,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
128,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
128,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
130,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
130,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
130,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
132,continent,3,2,2,1,1,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
134,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
134,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
134,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
136,continent,3,2,2,1,1,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
138,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
138,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
138,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
140,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
142,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
142,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
142,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
144,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
146,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
146,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
146,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
148,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
150,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
150,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
150,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
152,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
154,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
154,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
154,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
156,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
158,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
158,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
158,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
160,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
162,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
162,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
162,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
164,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
166,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
168,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
168,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
168,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
170,continent,3,2,2,1,1,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
172,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
172,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
172,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
174,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
176,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
176,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
176,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
178,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
180,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
180,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
180,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
182,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
184,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
184,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
184,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
186,continent,3,2,2,1,1,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
188,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
188,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
188,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
190,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
192,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
192,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
192,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
194,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
196,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
196,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
196,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
198,continent,3,2,2,1,1,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
200,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
200,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
200,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
202,continent,3,2,2,1,1,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
204,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
204,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
204,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
206,continent,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
208,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
208,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
208,country,3,4,4,0,4,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
210,continent,3,2,2,1,1,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
212,city,3,3,3,1,2,True,A_EXACT_ONE_AUTHORITATIVE_MATCH,,REPAIR,DETERMINISTIC,,,
212,continent,3,2,2,0,2,True,B_ZERO_AUTHORITATIVE_MATCH,ZM_MISSING_GENUINE_MEMBERSHIP,EXCLUDED,no active membership in authoritative round 3; winner never chosen,no_home_row_ever,False,False
